Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Safety_Rating,Units_Sold_2024,Warranty_Years,Cost_Per_Km,Estimated_Revenue
23,Skoda,Enyaq,2025,Solid-state,66.00,386,"Vehicle-to-Grid (V2G)",11.70,119937.31,"Forest Green",Netherlands,0.0,10885,4,310.72,1305517619.35
24,"Faraday Future","FF 91",2019,"Nickel-metal hydride",122.40,155,"Plug-in Hydrogen Refueling",10.50,133031.19,"Crimson Red",Denmark,3.0,7304,3,858.27,971659811.76
25,Mini,"Mini Electric",2021,Sodium-ion,56.20,135,"Battery Swapping",4.50,91128.68,"Sky Blue","Saudi Arabia",3.0,19024,4,675.03,1733632008.32
26,Chevrolet,"Bolt EV",2024,Nickel-cobalt-aluminum,64.90,502,"Mobile Charging",5.50,148108.30,Orange,India,3.0,17036,5,295.04,2523172998.80
27,Skoda,"Elroq (upcoming)",2025,"Lithium-iron phosphate",67.30,135,"Mobile Charging",7.70,109606.50,Orange,Poland,4.0,18166,3,811.90,1991111679.00
28,"Lucid Motors","Lucid Gravity",2025,Nickel-cobalt-aluminum,108.10,562,NACS,7.60,66113.98,"Matte Gray",USA,5.0,10559,4,117.64,698097514.82
29,Geely,"Geometry C",2025,"Lithium-iron phosphate",86.50,506,NACS,8.10,64054.37,"Lime Green",Finland,3.0,4828,3,126.59,309254498.36
30,Chevrolet,"Bolt EUV",2022,Zinc-air,130.50,137,"Vehicle-to-Home (V2H)",5.30,105571.85,"Metallic Silver",India,3.0,13931,3,770.60,1470721442.35
31,Porsche,"Cayenne Electric (upcoming)",2015,Lead-acid,52.40,534,CCS,5.70,126169.99,"Lime Green","South Africa",4.0,16540,4,236.27,2086851634.60
32,Lamborghini,"Lanzador (upcoming EV)",2017,Lithium-titanate,132.00,330,"Battery Swapping",9.10,130783.55,Bronze,"South Africa",0.0,9362,3,396.31,1224395595.10
33,Toyota,"Lexus RZ",2020,Aluminum-ion,90.20,170,CHAdeMO,3.20,113273.98,"Cosmic Purple",Switzerland,4.0,2040,3,666.32,231078919.20
34,"Li Auto",MEGA,2024,Lithium-titanate,22.50,550,"Plug-in Hydrogen Refueling",6.00,143129.00,Magenta,India,5.0,7226,4,260.23,1034250154.00
35,Volvo,EX30,2021,Nickel-manganese-cobalt,23.80,272,"Plug-in Hydrogen Refueling",8.80,130860.68,Gray,Finland,3.0,14044,3,481.11,1837807389.92
36,Changan,SL03,2015,Lithium-sulfur,69.30,208,"Vehicle-to-Home (V2H)",4.30,121347.56,Beige,Portugal,0.0,635,5,583.40,77055700.60
37,Maserati,"Grecale Folgore",2020,"Lithium-iron phosphate",104.50,499,"Level 2 Charging",9.20,143953.41,"Metallic Silver",Germany,5.0,7142,4,288.48,1028115254.22
38,Seat,Avenger,2020,"Nickel-metal hydride",98.80,593,CCS,9.40,49651.90,Magenta,France,4.0,12997,5,83.73,645325744.30
39,"Lucid Motors","Lucid Air",2024,Lithium-titanate,128.00,224,CCS,8.50,66189.92,"Sky Blue",Ireland,4.0,12142,3,295.49,803678008.64
40,MG,"MG5 EV",2015,Calcium-ion,74.60,350,CCS,5.50,73462.56,Titanium,Australia,5.0,8850,5,209.89,650143656.00
41,"Faraday Future","FF 91",2022,Nickel-cobalt-aluminum,127.30,403,"Battery Swapping",4.20,59459.42,Green,Portugal,5.0,12418,4,147.54,738367077.56
42,Nissan,Ariya,2020,"Nickel-metal hydride",83.40,281,"Battery Swapping",4.40,135638.40,"Ice Silver",Portugal,0.0,13317,4,482.70,1806296572.80
43,Lamborghini,"Revuelto (PHEV)",2022,"Flow batteries",112.50,329,"Level 1 Charging",1.60,56591.57,"Ice Silver",Belgium,4.0,13942,5,172.01,788999668.94
44,Lamborghini,"Lanzador (upcoming EV)",2020,Lithium-titanate,79.00,256,"Battery Swapping",3.20,116554.12,Purple,Canada,4.0,9060,5,455.29,1055980327.20
45,Jeep,"Wagoneer S",2016,Calcium-ion,45.20,216,"Overhead Pantograph Charging",2.60,31697.80,"Matte White",Italy,3.0,16085,3,146.75,509859113.00
46,Tesla,Cybertruck,2019,Nickel-manganese-cobalt,82.20,274,NACS,11.60,60297.41,"Aurora Blue",Canada,5.0,1756,3,220.06,105882251.96
47,Ford,E-Transit,2016,"Lithium-iron phosphate",35.40,491,"Vehicle-to-Grid (V2G)",7.50,124888.90,"Crimson Red","South Africa",4.0,10006,5,254.36,1249638333.40
48,GMC,"Hummer EV Pickup",2024,Lithium-titanate,32.90,490,"Inductive (Wireless) Charging",7.70,61757.54,Green,Netherlands,0.0,14762,5,126.04,911664805.48
49,Cadillac,Celestiq,2019,Lithium-ion,50.10,461,"Solar Charging",8.60,84483.76,"Sky Blue",Austria,3.0,13930,3,183.26,1176858776.80
50,Maserati,"Grecale Folgore",2025,"Nickel-metal hydride",138.10,523,CHAdeMO,1.30,49910.73,Magenta,Ireland,4.0,9964,5,95.43,497310513.72
51,XPeng,G9,2023,Lead-acid,84.20,141,"Level 2 Charging",10.70,118144.07,"Gun Metal",Spain,5.0,19238,3,837.90,2272855618.66
52,Citroen,Ami,2019,Zinc-air,25.20,487,NACS,5.90,108181.14,Bronze,Norway,3.0,15401,4,222.14,1666097737.14
53,"Li Auto",L9,2020,"Flow batteries",33.60,182,"Mobile Charging",5.20,89456.28,"Lime Green",Thailand,0.0,8270,4,491.52,739803435.60
54,Jaguar,I-PACE,2023,Calcium-ion,148.50,436,"Vehicle-to-Home (V2H)",5.30,52509.90,Turquoise,Finland,0.0,8750,5,120.44,459461625.00
55,Volkswagen,ID.5,2022,Aluminum-ion,110.80,162,"Level 1 Charging",11.70,103064.60,"Forest Green",Netherlands,0.0,3717,4,636.20,383091118.20
56,Jaguar,I-PACE,2022,Aluminum-ion,113.20,360,"Battery Swapping",5.30,87899.95,"Aurora Blue",Belgium,5.0,4473,3,244.17,393176476.35
57,Toyota,"Lexus RZ",2020,Aluminum-ion,122.40,236,"Level 1 Charging",3.80,65826.70,"Matte Blue",Israel,4.0,11309,4,278.93,744434150.30
58,Lamborghini,"Lanzador (upcoming EV)",2022,Aluminum-ion,61.80,196,"Ultra-Fast Charging (350 kW+)",7.10,58027.49,"Navy Blue",Indonesia,4.0,12651,5,296.06,734105775.99
59,VinFast,"VF 7",2022,Lithium-ion,36.40,594,"Mobile Charging",10.50,134902.84,"Candy Apple Red",France,5.0,5058,3,227.11,682338564.72
60,"Great Wall Motors","ORA Lightning Cat",2020,Zinc-air,110.10,432,"DC Fast Charging (DCFC)",10.30,132280.96,"Rose Gold","Saudi Arabia",4.0,17728,3,306.21,2345076858.88
61,GMC,"Hummer EV Pickup",2018,"Flow batteries",109.00,247,"Ultra-Fast Charging (350 kW+)",9.10,82076.58,Yellow,France,0.0,10629,3,332.29,872391968.82
62,Mazda,"Mazda EV (upcoming models)",2020,Nickel-cobalt-aluminum,38.90,371,"Vehicle-to-Grid (V2G)",7.00,125102.34,"Pearl White",Norway,3.0,16307,5,337.20,2040043858.38
63,Ford,"F-150 Lightning",2022,"Flow batteries",53.00,230,"Level 1 Charging",10.80,85830.39,Copper,"Saudi Arabia",4.0,13903,5,373.18,1193299912.17
64,Honda,"Honda Prologue",2019,"Lithium-iron phosphate",149.90,536,"Vehicle-to-Load (V2L)",1.70,75763.72,Teal,Singapore,5.0,12969,4,141.35,982579684.68
65,Tesla,Cybertruck,2025,Magnesium-ion,116.80,125,"Vehicle-to-Load (V2L)",10.10,138352.19,"Navy Blue",Austria,4.0,4481,5,1106.82,619956163.39
66,Kia,"Soul EV",2019,Magnesium-ion,77.30,396,"Overhead Pantograph Charging",8.90,40816.01,Copper,Hungary,4.0,17394,5,103.07,709953677.94
67,Toyota,bZ4X,2019,Aluminum-ion,127.20,346,"Solar Charging",9.10,70645.83,Orange,Australia,5.0,13022,5,204.18,919949998.26
68,BYD,"Han EV",2021,Lithium-ion,54.40,163,"Vehicle-to-Home (V2H)",4.70,119881.39,Gold,Israel,3.0,15449,3,735.47,1852047594.11
69,GMC,"Hummer EV SUV",2024,"Lithium-iron phosphate",104.20,425,"Vehicle-to-Home (V2H)",11.00,66262.82,Tan,Canada,4.0,3805,3,155.91,252130030.10
70,Polestar,"Polestar 3",2021,Nickel-manganese-cobalt,68.20,586,"Vehicle-to-Grid (V2G)",7.30,117191.90,Tan,France,3.0,12141,3,199.99,1422826857.90
71,Geely,"Geometry C",2018,Calcium-ion,67.10,451,"Overhead Pantograph Charging",6.80,147341.10,Teal,"South Korea",4.0,3003,5,326.70,442465323.30
72,Rivian,"EDV (Electric Delivery Van)",2025,Zinc-air,146.20,125,"Mobile Charging",3.30,45110.87,"Matte Green",Switzerland,3.0,7634,4,360.89,344376381.58
73,Opel,Corsa-e,2024,Lithium-ion,56.00,174,CHAdeMO,6.70,125821.66,Orange,Germany,5.0,10609,3,723.11,1334841990.94
74,Porsche,"Panamera EV",2015,"Nickel-metal hydride",116.40,369,CCS,9.10,87149.52,"Navy Blue",Argentina,5.0,1420,5,236.18,123752318.40
75,VinFast,"VFe34 (discontinued)",2019,Nickel-manganese-cobalt,103.60,115,"Level 2 Charging",12.00,131675.83,Brown,France,0.0,19932,3,1145.01,2624562643.56
76,Audi,"e-tron GT",2019,Zinc-air,102.30,380,"Mobile Charging",4.90,101687.02,Copper,Australia,5.0,18066,5,267.60,1837077703.32
77,Rivian,R1S,2022,Aluminum-ion,49.70,273,"Vehicle-to-Home (V2H)",5.10,117553.50,Purple,Vietnam,4.0,2199,3,430.60,258500146.50
78,Hyundai,"Kona Electric",2021,Solid-state,116.80,290,CHAdeMO,6.90,100375.81,"Matte Gray","United Arab Emirates",4.0,1685,4,346.12,169133239.85
79,Cadillac,Celestiq,2020,Solid-state,95.10,208,CHAdeMO,8.10,56909.38,Yellow,Brazil,3.0,14061,5,273.60,800202792.18
80,Opel,"Grandland Electric",2024,"Flow batteries",103.60,113,"Battery Swapping",0.80,62792.45,"Stealth Gray",Poland,5.0,13132,3,555.69,824590453.40
81,Ford,"Mustang Mach-E",2016,Lithium-titanate,89.00,292,"Vehicle-to-Grid (V2G)",5.70,48889.11,Magenta,Hungary,3.0,5158,5,167.43,252170029.38
82,BMW,iX3,2016,Lithium-sulfur,77.60,317,"Vehicle-to-Load (V2L)",7.50,79702.05,"Electric Blue",Turkey,5.0,19435,4,251.43,1549009341.75
83,Lotus,Evija,2019,Lithium-ion,48.70,406,"Level 2 Charging",0.60,66170.32,"Electric Blue",Italy,0.0,14111,3,162.98,933729385.52
84,Volkswagen,ID.6,2023,Lithium-titanate,49.90,386,"Overhead Pantograph Charging",1.30,133411.72,Silver,Vietnam,5.0,14066,5,345.63,1876569253.52
85,XPeng,P5,2019,Solid-state,72.70,594,"Mobile Charging",2.50,143713.72,"Sunset Orange",Argentina,5.0,13121,5,241.94,1885667720.12
86,Hyundai,"Ioniq 7 (upcoming)",2019,Lithium-titanate,64.10,270,NACS,1.40,105986.96,"Matte Black",Turkey,5.0,4839,3,392.54,512870899.44
87,Kia,"Niro EV",2019,"Lithium-iron phosphate",42.60,178,"DC Fast Charging (DCFC)",2.50,122741.77,Champagne,Australia,5.0,10590,5,689.56,1299835344.30
88,Rimac,Nevera,2022,Solid-state,81.00,423,"Solar Charging",9.70,100970.37,Teal,Turkey,0.0,12082,4,238.70,1219924010.34
89,Audi,e-tron,2024,Zinc-air,85.90,336,"Level 2 Charging",5.70,127177.91,"Ruby Red",Denmark,4.0,3391,4,378.51,431260292.81
90,Dacia,"Jogger Hybrid",2023,"Flow batteries",42.40,226,"Vehicle-to-Home (V2H)",11.90,92888.23,"Sapphire Blue",Netherlands,5.0,19591,3,411.01,1819773313.93
91,VinFast,"VF 8",2016,Sodium-ion,32.30,447,"Plug-in Hydrogen Refueling",3.80,116848.04,"Lime Green",Ireland,4.0,10165,5,261.41,1187760326.60
92,Seat,Avenger,2017,Zinc-air,112.10,143,"Solar Charging",6.90,107219.19,Pink,Italy,3.0,13874,5,749.78,1487559042.06
93,BYD,"Han EV",2020,Lithium-sulfur,43.40,209,"Mobile Charging",11.40,88352.51,"Crimson Red",Italy,5.0,17253,3,422.74,1524345855.03
94,Mini,"Mini Cooper SE",2024,"Nickel-metal hydride",97.60,178,NACS,2.60,113141.48,"Sapphire Blue",Netherlands,3.0,14555,5,635.63,1646774241.40
95,Mazda,"Mazda EV (upcoming models)",2018,Lead-acid,51.10,594,"Vehicle-to-Load (V2L)",10.90,53281.94,"Sky Blue",Singapore,5.0,17283,4,89.70,920871769.02
96,Mercedes-Benz,EQB,2024,"Nickel-metal hydride",133.50,126,"Vehicle-to-Load (V2L)",10.60,96544.89,Yellow,"South Africa",4.0,16821,3,766.23,1623981594.69
97,Zeekr,"Zeekr 001",2018,Calcium-ion,78.60,278,"Level 1 Charging",5.30,77574.48,Turquoise,Belgium,0.0,3246,5,279.04,251806762.08
98,Genesis,"GV80 Electric",2017,"Nickel-metal hydride",25.00,569,"Vehicle-to-Load (V2L)",8.50,46655.12,"Cosmic Purple","New Zealand",0.0,7066,3,81.99,329665077.92
99,Lamborghini,"Lanzador (upcoming EV)",2016,Magnesium-ion,57.50,254,CCS,1.00,80379.07,Burgundy,Finland,5.0,538,5,316.45,43243939.66
100,MG,"MG4 Electric",2017,Lithium-sulfur,75.80,414,"Overhead Pantograph Charging",3.30,79988.11,"Lime Green",UK,5.0,16633,5,193.21,1330442233.63
101,Nissan,Ariya,2022,Lithium-ion,102.60,291,"Battery Swapping",9.10,72851.27,Red,Brazil,5.0,10895,3,250.35,793714586.65
102,Chevrolet,"Volt (PHEV)",2023,Sodium-ion,125.80,189,"Vehicle-to-Home (V2H)",11.80,87423.74,"Midnight Black",Italy,4.0,6605,3,462.56,577433802.70
103,VinFast,"VF 7",2015,Sodium-ion,141.30,363,"Plug-in Hydrogen Refueling",11.90,95163.68,Gold,Japan,3.0,10876,4,262.16,1035000183.68
104,Jaguar,I-PACE,2021,Aluminum-ion,72.00,325,"Plug-in Hydrogen Refueling",4.40,52418.07,"Ice Silver",Russia,0.0,13910,3,161.29,729135353.70
105,Zeekr,"Zeekr X",2023,Lithium-sulfur,61.80,140,"Mobile Charging",8.10,66779.50,"Gun Metal",Vietnam,0.0,11552,5,477.00,771436784.00
106,Zeekr,"Zeekr 009",2025,Magnesium-ion,143.20,138,"Plug-in Hydrogen Refueling",4.70,126131.52,"Sky Blue",Netherlands,4.0,1140,3,914.00,143789932.80
107,Audi,"e-tron GT",2025,Sodium-ion,67.10,586,"Level 2 Charging",7.50,111487.45,Turquoise,Argentina,4.0,10301,5,190.25,1148432222.45
108,Toyota,bZ4X,2016,Lithium-ion,115.60,355,"Plug-in Hydrogen Refueling",11.00,44131.32,"Navy Blue",Spain,4.0,6559,3,124.31,289457327.88
109,Volkswagen,ID.2all,2016,Nickel-manganese-cobalt,42.40,465,"Vehicle-to-Home (V2H)",12.00,127261.59,"Rose Gold",Hungary,4.0,5161,5,273.68,656797065.99
110,Dacia,"Jogger Hybrid",2020,Lead-acid,49.20,202,CHAdeMO,3.20,89282.63,Turquoise,"United Arab Emirates",5.0,2825,3,441.99,252223429.75
111,Subaru,Solterra,2022,Lead-acid,73.40,309,"DC Fast Charging (DCFC)",1.90,68043.32,Red,Malaysia,5.0,19260,3,220.20,1310514343.20
112,Opel,Corsa-e,2021,Lead-acid,138.40,128,CCS,6.50,66494.95,"Pearl White",Hungary,4.0,2584,4,519.49,171822950.80
113,"Lucid Motors","Lucid DreamDrive",2023,Lithium-sulfur,36.30,255,"DC Fast Charging (DCFC)",6.30,50236.31,"Matte Blue",Sweden,5.0,1349,3,197.01,67768782.19
114,Hyundai,"Kona Electric",2025,Magnesium-ion,95.00,433,"Inductive (Wireless) Charging",9.30,79990.41,"Emerald Green",Germany,4.0,15825,3,184.74,1265848238.25
115,"Faraday Future","FF 91",2019,Nickel-manganese-cobalt,29.50,130,NACS,5.60,88110.14,"Electric Blue",Mexico,4.0,13065,3,677.77,1151158979.10
116,Citroen,Ã«-Spacetourer,2023,Lead-acid,33.80,223,"Vehicle-to-Home (V2H)",1.90,83951.52,Charcoal,France,4.0,8135,3,376.46,682945615.20
117,Canoo,Pickup,2024,Lithium-titanate,60.70,490,NACS,6.20,91766.98,Champagne,Poland,3.0,7049,5,187.28,646865442.02
118,Fisker,Ocean,2015,Lithium-sulfur,84.30,551,"Vehicle-to-Load (V2L)",3.80,30981.29,Yellow,Vietnam,4.0,11991,3,56.23,371496648.39
119,XPeng,P7,2024,Lead-acid,45.30,383,"Solar Charging",1.30,90510.66,"Stealth Gray","United Arab Emirates",3.0,12907,4,236.32,1168221088.62
120,VinFast,"VF 8",2023,Sodium-ion,118.10,201,"Plug-in Hydrogen Refueling",6.30,35436.40,Gray,Mexico,5.0,4580,4,176.30,162298712.00
121,GMC,"Hummer EV SUV",2017,Nickel-cobalt-aluminum,148.80,478,"Solar Charging",7.30,90877.80,"Graphite Gray","Saudi Arabia",4.0,10854,5,190.12,986387641.20
122,Jaguar,I-PACE,2024,Lithium-sulfur,123.60,471,"Level 1 Charging",7.40,61863.65,"Ruby Red",Israel,5.0,12458,3,131.35,770697351.70
123,Canoo,MPDV,2018,Lithium-ion,94.40,458,CCS,2.70,82924.63,Tan,Sweden,4.0,2040,5,181.06,169166245.20
124,Volkswagen,ID.7,2018,Lead-acid,62.30,439,"Vehicle-to-Load (V2L)",6.50,67650.31,"Midnight Black",Australia,5.0,8662,5,154.10,585986985.22
125,"Great Wall Motors","ORA Good Cat",2018,Lithium-sulfur,92.60,215,"Solar Charging",9.40,114588.11,"Ice Silver",Russia,5.0,8960,4,532.97,1026709465.60
126,Jaguar,I-PACE,2021,Calcium-ion,64.90,495,CHAdeMO,3.80,64515.64,"Cosmic Purple",UK,3.0,6621,5,130.33,427158052.44
127,Toyota,"Lexus UX 300e",2019,"Nickel-metal hydride",34.20,479,"Ultra-Fast Charging (350 kW+)",3.30,110380.08,"Matte Black",Austria,4.0,3294,5,230.44,363591983.52
128,Opel,Corsa-e,2015,Lead-acid,147.10,180,"Vehicle-to-Grid (V2G)",8.00,135677.69,"Aurora Blue","New Zealand",3.0,18813,3,753.76,2552504381.97
129,Maserati,"Grecale Folgore",2017,Nickel-cobalt-aluminum,134.70,190,"Level 2 Charging",12.00,77639.35,Champagne,Norway,0.0,18610,5,408.63,1444868303.50
130,Kia,EV6,2019,Nickel-manganese-cobalt,148.60,378,"Vehicle-to-Load (V2L)",10.70,46103.99,"Graphite Gray",Australia,5.0,8430,5,121.97,388656635.70
131,Porsche,Taycan,2020,Magnesium-ion,58.40,445,"Inductive (Wireless) Charging",2.50,132737.58,Cream,Vietnam,0.0,4607,4,298.29,611522031.06
132,Rimac,Nevera,2015,Lithium-sulfur,69.90,328,"Battery Swapping",11.50,66233.50,"Volcanic Yellow",Singapore,3.0,3873,4,201.93,256522345.50
133,Subaru,Solterra,2021,"Flow batteries",85.30,558,"Solar Charging",8.40,106645.36,Copper,Argentina,4.0,19848,4,191.12,2116697105.28
134,"Li Auto",MEGA,2023,Magnesium-ion,106.30,211,"Ultra-Fast Charging (350 kW+)",8.30,101497.74,Burgundy,UK,0.0,18486,3,481.03,1876287221.64
135,BMW,iX1,2023,"Lithium-iron phosphate",94.50,176,NACS,4.30,92440.98,Orange,Switzerland,3.0,14858,3,525.23,1373488080.84
136,MG,"MG ES5",2022,Zinc-air,27.50,336,"Solar Charging",8.80,77513.85,Platinum,USA,5.0,2089,5,230.70,161926432.65
137,BMW,i3,2022,Lithium-ion,57.30,192,CHAdeMO,9.30,147399.99,"Ruby Red",Indonesia,4.0,12309,3,767.71,1814346476.91
138,Skoda,"Elroq (upcoming)",2023,"Nickel-metal hydride",105.00,278,CCS,2.60,94471.02,"Matte Black",Italy,4.0,15171,5,339.82,1433219844.42
139,Renault,"Kangoo E-Tech",2023,Nickel-cobalt-aluminum,127.00,226,"Vehicle-to-Home (V2H)",4.50,63077.97,"Volcanic Yellow",Canada,3.0,7886,3,279.11,497432871.42
140,Audi,e-tron,2024,Lithium-ion,78.00,444,"Level 2 Charging",3.30,35308.41,"Candy Apple Red",Austria,3.0,18877,4,79.52,666516855.57
141,Ferrari,"Ferrari EV (2025+)",2025,Calcium-ion,61.70,254,CHAdeMO,11.80,92550.13,Tan,Poland,3.0,13998,5,364.37,1295516719.74
142,Mahindra,XUV400,2020,"Flow batteries",107.30,502,"Mobile Charging",8.50,78991.10,Magenta,India,4.0,4730,4,157.35,373627903.00
143,BMW,iX1,2021,Nickel-cobalt-aluminum,92.40,168,"Plug-in Hydrogen Refueling",3.30,54400.41,"Ruby Red",UK,3.0,1688,4,323.81,91827892.08
144,NIO,ET5,2016,"Lithium-iron phosphate",124.60,400,"Inductive (Wireless) Charging",6.00,134336.86,Pink,Poland,5.0,3844,5,335.84,516390889.84
145,Citroen,Ã«-Spacetourer,2018,Lithium-titanate,98.60,204,"Plug-in Hydrogen Refueling",11.00,96249.52,"Navy Blue","Czech Republic",4.0,16803,4,471.81,1617280684.56
146,Changan,SL03,2022,Magnesium-ion,129.20,568,"Inductive (Wireless) Charging",4.80,79671.62,"Matte Green",Austria,5.0,13683,4,140.27,1090146776.46
147,Ford,"F-150 Lightning",2020,"Lithium-iron phosphate",69.40,526,"Ultra-Fast Charging (350 kW+)",6.20,108552.96,"Sky Blue",Mexico,4.0,15100,3,206.37,1639149696.00
148,Renault,"Scenic E-Tech",2017,"Nickel-metal hydride",113.60,350,NACS,11.00,95056.42,"Ruby Red","South Korea",3.0,13513,3,271.59,1284497403.46
149,Acura,"ZDX (with GM Ultium)",2016,Lithium-titanate,39.60,211,"Vehicle-to-Home (V2H)",4.80,104140.23,"Lime Green",Finland,0.0,18076,4,493.56,1882438797.48
150,Tesla,"Model S",2023,Lithium-titanate,55.70,600,"Solar Charging",0.70,127578.87,"Sky Blue",Vietnam,0.0,4879,3,212.63,622457306.73
151,"Lucid Motors","Lucid DreamDrive",2023,Lithium-sulfur,126.00,236,"Plug-in Hydrogen Refueling",1.40,145115.74,"Sunset Orange",Singapore,3.0,1038,3,614.90,150630138.12
152,XPeng,P5,2021,Lead-acid,81.90,426,"Level 1 Charging",8.60,39922.33,"Rose Gold",Vietnam,3.0,17306,3,93.71,690895842.98
153,Volvo,"C40 Recharge",2024,Nickel-manganese-cobalt,55.20,573,"DC Fast Charging (DCFC)",8.40,63644.76,"Matte White",Singapore,3.0,19235,3,111.07,1224206958.60
154,Citroen,Ami,2021,Aluminum-ion,30.00,183,"Ultra-Fast Charging (350 kW+)",7.00,131933.09,"Sky Blue","Saudi Arabia",5.0,2569,5,720.95,338936108.21
155,Peugeot,e-3008,2015,Solid-state,76.80,529,"DC Fast Charging (DCFC)",4.40,122280.68,"Gun Metal",Thailand,4.0,16076,3,231.15,1965784211.68
156,Fisker,"Pear (upcoming)",2021,"Nickel-metal hydride",108.40,438,"Plug-in Hydrogen Refueling",1.50,104233.91,"Cobalt Blue",Belgium,5.0,5055,5,237.98,526902415.05
157,NIO,ES8,2020,Solid-state,31.90,582,"Solar Charging",5.60,121361.58,Yellow,Italy,5.0,13370,3,208.53,1622604324.60
158,Nissan,Leaf,2020,Lead-acid,32.10,406,"Mobile Charging",10.40,31480.87,Tan,India,3.0,18741,5,77.54,589982984.67
159,Mercedes-Benz,"EQS SUV",2017,"Nickel-metal hydride",55.00,237,"Vehicle-to-Load (V2L)",2.20,50064.89,Bronze,Indonesia,5.0,16246,5,211.24,813354202.94
160,GMC,"Hummer EV Pickup",2022,Solid-state,37.60,103,"Plug-in Hydrogen Refueling",4.30,104423.06,"Cobalt Blue",Mexico,5.0,4460,4,1013.82,465726847.60
161,Rimac,Nevera,2022,Sodium-ion,43.10,303,"Mobile Charging",3.90,113394.93,Champagne,Singapore,4.0,11960,3,374.24,1356203362.80
